tag3	tag1	name	autonym
kap		Bezhta	
aar	aa	Afar	Qafar
aaq		Eastern Abnaki	
aap		Pará Arára	Ukarãngmã
aao		Algerian Saharan Arabic	
aan		Anambé	
aal		Afade	
aak		Ankave	
aai		Arifama-Miniafia	
aah		Abu' Arapesh	
aag		Ambrak	
aaf		Aranadan	
aae		Arbëreshë Albanian	
aad		Amal	
aac		Ari	
aab		Alumu-Tesu	
aaa		Ghotuo	
lnj		Leningitij	
ben	bn	Bangla	বাংলা
abk	ab	Abkhazian	аҧсуа бызшәа‎ (Aṗsua byzšwa), аҧсшәа‎ (Aṗsšwa)
bem		Bemba	Ichibemba
bek		Bebeli	
bej		Beja	Bedàwie, Tu Bdhaawi
bei		Bekati'	
beh		Biali	Biali
beg		Belait	
bef		Benabena	
bee		Byangsi	
bed		Bedoanas	
bec		Iceve-Maci	
beb		Bebele	
bea		Beaver	Danezaa ZaageɁ‎ (Danezaa Zaage)
bdz		Badeshi	
bdy		Bandjalang	
bdx		Budong-Budong	
bdw		Baham	
bdv		Bodo Parja	
bdu		Oroko	
bdt		Bokoto	
bds		Burunge	Burungaisoo
bdr		West Coast Bajau	Sama
bdq		Bahnar	
bdp		Bende	
bdo		Morom	
bdn		Baldemu	
bdm		Buduma	
bdl		Indonesian Bajau	
bdk		Budukh	
bdj		Bai	
bdi		Burun	
bdh		Baka (Sudan)	
bdg		Bonggi	
bdf		Biage	
bde		Bade	Gabaden
bdd		Bunama	
bdc		Emberá-Baudó	
bdb		Basap	
bda		Bayot	
bcz		Bainouk-Gunyaamolo	
bcy		Bacama	
bcw		Bana	
bcv		Shoo-Minda-Nye	
bcu		Awad Bing	
bct		Bendi	
bcs		Kohumono	
bcr		Babine	Nedut’en
bcq		Bench	
bcp		Bali (Democratic Republic of Congo)	
bco		Kaluli	
bcn		Bali (Nigeria)	Abaali, Maya
bcm		Bannoni	Tsunari
bcl		Central Bikol	
bck		Bunaba	
bcj		Bardi	
bci		Baoulé	
bch		Bariai	Bariai
bcg		Baga Pokur	
bcf		Bamu	
bce		Bamenyam	
bcd		North Babar	
bcc		Southern Balochi	بلوچی‎ (Balōčī), بلوچی زبان‎ (Balōčī Zubān)
bcb		Bainouk-Samik	
bca		Central Bai	白语‎ (Baip‧ngvp‧zix)
bbz		Babalia Creole Arabic	
bby		Befang	
bbx		Bubia	
bbw		Baba	Supapyak’
bbv		Karnai	
bbu		Kulung (Nigeria)	
bbt		Mburku	
bbs		Bakpinka	
bbr		Girawa	
bbq		Bamali	Chopechop
bbp		West Central Banda	
bbo		Northern Bobo Madaré	
bbn		Uneapa	
